


2022-12-03 00:02:54:748877  ->     Device used:genmet0

2022-12-03 00:02:54:748877  ->     Theta   Phi             X              Y              Z                      |0>            |1>
2022-12-03 00:02:54:814391  ->      40.7    43.1           0.4761376551   0.4455617372   0.7581343362           0.9375858191   0.2539168391 +0.2376111755 *i
2022-12-03 00:02:55:409239  ->      38.3    47.5           0.4187166448   0.4569490340   0.7847763705           0.9446630009   0.2216222316 +0.2418582254 *i
2022-12-03 00:02:55:980157  ->      39.9    54.6           0.3715796946   0.5228634243   0.7671651518           0.9399907318   0.1976507225 +0.2781215849 *i
2022-12-03 00:02:56:532241  ->      36.9    41.7           0.4482966656   0.3994177594   0.7996846585           0.9486001946   0.2362937875 +0.2105300851 *i
2022-12-03 00:02:57:086113  ->      41.5    49.4           0.4312160432   0.5031083903   0.7489557208           0.9351352097   0.2305634729 +0.2690030196 *i
2022-12-03 00:02:57:637849  ->      37.8    52.0           0.3773432609   0.4829773492   0.7901550124           0.9460853588   0.1994234756 +0.2552504088 *i
2022-12-03 00:02:58:190201  ->      37.9    47.4           0.4157948905   0.4521735465   0.7890840848           0.9458023273   0.2198106721 +0.2390423101 *i
2022-12-03 00:02:58:742544  ->      35.0    52.0           0.3531289150   0.4519843999   0.8191520443           0.9537169507   0.1851329762 +0.2369594037 *i
2022-12-03 00:02:59:294631  ->      36.9    38.2           0.4718443729   0.3713049081   0.7996846585           0.9486001946   0.2487056062 +0.1957120134 *i
2022-12-03 00:02:59:847102  ->      39.4    44.1           0.4558166735   0.4417170865   0.7727335735           0.9414705448   0.2420769699 +0.2345889040 *i
2022-12-03 00:03:00:398940  ->      39.9    32.0           0.5439801388   0.3399165168   0.7671651518           0.9399907318   0.2893539906 +0.1808084406 *i
2022-12-03 00:03:00:950991  ->      35.0    41.8           0.4275874673   0.3823073190   0.8191520443           0.9537169507   0.2241689565 +0.2004301794 *i
2022-12-03 00:03:01:503073  ->      40.4    36.6           0.5203219826   0.3864252070   0.7615383075           0.9384930228   0.2772114283 +0.2058753755 *i
2022-12-03 00:03:02:055572  ->      43.4    34.4           0.5669251797   0.3881817721   0.7265746710           0.9291325715   0.3050830404 +0.2088947175 *i
2022-12-03 00:03:02:608029  ->      39.1    42.7           0.4634928557   0.4276988974   0.7760464071           0.9423498308   0.2459239873 +0.2269321240 *i
2022-12-03 00:03:03:160274  ->      44.6    41.9           0.5226206246   0.4689206677   0.7120260460           0.9252097184   0.2824336008 +0.2534131767 *i
2022-12-03 00:03:03:712365  ->      40.5    51.4           0.4051773865   0.5075569455   0.7604059656           0.9381913359   0.2159353700 +0.2704975660 *i
2022-12-03 00:03:04:265865  ->      36.1    42.6           0.4337057224   0.3988128557   0.8079898839           0.9507864860   0.2280773490 +0.2097278735 *i
2022-12-03 00:03:04:817938  ->      42.2    36.6           0.5392690276   0.4004965244   0.7408045963           0.9329535348   0.2890117286 +0.2146390519 *i
2022-12-03 00:03:05:370220  ->      34.6    53.1           0.3409448694   0.4540959313   0.8231363685           0.9547607995   0.1785498889 +0.2378061246 *i
