


2022-12-02 22:20:21:565089  ->     Device used:genmet0

2022-12-02 22:20:21:565089  ->     Theta   Phi             X              Y              Z                      |0>            |1>
2022-12-02 22:20:21:628247  ->      36.0    56.9           0.3209906789   0.4923987072   0.8090169944           0.9510565163   0.1687547866 +0.2588693199 *i
2022-12-02 22:20:22:180768  ->      35.6    48.9           0.3826732306   0.4386665601   0.8131007610           0.9521293927   0.2009565262 +0.2303607910 *i
2022-12-02 22:20:22:733142  ->      38.3    26.6           0.5541780472   0.2775116939   0.7847763705           0.9446630009   0.2933204998 +0.1468839648 *i
2022-12-02 22:20:23:284986  ->      38.7    60.6           0.3069339669   0.5447200375   0.7804304073           0.9435121640   0.1626550132 +0.2886661446 *i
2022-12-02 22:20:23:840155  ->      38.1    38.2           0.4849018958   0.3815801654   0.7869350220           0.9452341038   0.2564983076 +0.2018442648 *i
2022-12-02 22:20:24:391961  ->      37.6    32.8           0.5128676481   0.3305206447   0.7922896434           0.9466492601   0.2708857809 +0.1745739730 *i
2022-12-02 22:20:24:947943  ->      41.3    62.0           0.3098520145   0.5827468840   0.7512641335           0.9357521396   0.1655630810 +0.3113788681 *i
2022-12-02 22:20:25:500396  ->      41.2    28.2           0.5805052950   0.3112642082   0.7524149089           0.9360595357   0.3100792593 +0.1662630401 *i
2022-12-02 22:20:26:052707  ->      40.5    44.4           0.4640128874   0.4543949910   0.7604059656           0.9381913359   0.2472911812 +0.2421654164 *i
2022-12-02 22:20:26:605115  ->      44.2    58.9           0.3601090113   0.5969595301   0.7169106077           0.9265286309   0.1943323710 +0.3221484530 *i
2022-12-02 22:20:27:157706  ->      41.2    24.9           0.5974603321   0.2773318526   0.7524149089           0.9360595357   0.3191358612 +0.1481379346 *i
2022-12-02 22:20:27:710555  ->      34.1    52.1           0.3443922370   0.4423913079   0.8280603346           0.9560492494   0.1801121842 +0.2313642881 *i
2022-12-02 22:20:28:262486  ->      38.5    54.2           0.3641447145   0.5048990986   0.7826081569           0.9440890204   0.1928550733 +0.2674001538 *i
2022-12-02 22:20:28:814667  ->      38.4    24.9           0.5634083761   0.2615254609   0.7836934573           0.9443763702   0.2982965234 +0.1384646361 *i
2022-12-02 22:20:29:367143  ->      39.7    56.4           0.3534887121   0.5320432831   0.7693995550           0.9405848061   0.1879090061 +0.2828257907 *i
2022-12-02 22:20:29:919410  ->      40.5    49.3           0.4235040357   0.4923688650   0.7604059656           0.9381913359   0.2257023805 +0.2624032253 *i
2022-12-02 22:20:30:471874  ->      38.9    26.9           0.5600159035   0.2841122834   0.7782431485           0.9429324336   0.2969544177 +0.1506535746 *i
2022-12-02 22:20:31:023816  ->      45.7    60.4           0.3535106048   0.6222912030   0.6984152854           0.9215246295   0.1918074642 +0.3376421981 *i
